"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"20","OTU_95","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zasmidium","Zasmidium_queenslandicum",0,0,0,0,0,0,1,7,0.389874658309447,0.001,0.0118541666666667
"21","OTU_67","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_parapsilosis",0,0,0,0,1,0,0,5,0.272401804893679,0.004,0.0355625
"22","OTU_71","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma_sp",0,0,1,0,0,0,0,3,0.386427546362343,0.001,0.0118541666666667
"23","OTU_78","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Annulohypoxylon","Annulohypoxylon_stygium",0,0,1,0,0,0,0,3,0.502895254523959,0.001,0.0118541666666667
"24","OTU_75","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_gamsii",0,1,0,0,0,0,1,18,0.335209923370012,0.004,0.0355625
"25","OTU_84","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_sp",0,0,0,0,0,0,1,7,0.430459887197043,0.001,0.0118541666666667
"26","OTU_79","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_sp",0,0,0,0,0,0,1,7,0.362302968793479,0.001,0.0118541666666667
"27","OTU_101","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_sp",0,0,1,0,0,0,0,3,0.482605336966993,0.001,0.0118541666666667
"28","OTU_86","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Phomopsis","Phomopsis_sp",0,1,0,0,0,0,0,2,0.323425435956049,0.001,0.0118541666666667
"29","OTU_223","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.414588497224803,0.001,0.0118541666666667
"30","OTU_183","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella_sp",0,0,0,0,0,0,1,7,0.426957191089686,0.001,0.0118541666666667
"31","OTU_212","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,0,1,0,0,0,0,3,0.501147057714947,0.001,0.0118541666666667
"32","OTU_172","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_curta",1,0,1,0,0,0,0,9,0.41284012055619,0.001,0.0118541666666667
"33","OTU_117","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Melomastia","Melomastia_sp",0,0,1,0,0,0,0,3,0.429248610740305,0.001,0.0118541666666667
"34","OTU_169","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Morosphaeriaceae","Acrocalymma","Acrocalymma_sp",0,0,1,0,0,0,0,3,0.433523959361848,0.001,0.0118541666666667
"35","OTU_512","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.46076332918949,0.001,0.0118541666666667
"36","OTU_179","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_melonis",0,0,1,0,0,0,0,3,0.474677407381532,0.001,0.0118541666666667
"37","OTU_94","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Oxydothis","Oxydothis_garethjonesii",0,0,1,0,1,1,0,57,0.365521128624332,0.001,0.0118541666666667
"38","OTU_106","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,0,1,0,0,0,0,3,0.455116059658198,0.001,0.0118541666666667
"39","OTU_142","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_hypomiltum",0,0,1,0,0,0,0,3,0.369473564188243,0.001,0.0118541666666667
"40","OTU_279","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Annulohypoxylon","Annulohypoxylon_urceolatum",0,0,0,0,0,0,1,7,0.351649775189716,0.001,0.0118541666666667
"41","OTU_221","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Oxydothis","Oxydothis_sp",0,0,0,0,0,1,0,6,0.335353233977473,0.003,0.0294310344827586
"42","OTU_139","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","Phialemonium_dimorphosporum",0,1,0,0,0,0,0,2,0.333994359600353,0.005,0.0418382352941176
"43","OTU_145","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_hennebertii",0,1,0,0,0,0,0,2,0.405844535725362,0.001,0.0118541666666667
"44","OTU_151","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_punctatum",0,0,0,1,0,0,0,4,0.377651907327285,0.001,0.0118541666666667
"45","OTU_128","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales_sp",0,1,0,1,0,0,1,50,0.340857573834354,0.004,0.0355625
"46","OTU_1188","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",1,0,1,0,0,0,0,9,0.312364806012389,0.004,0.0355625
"47","OTU_262","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,0,1,0,0,0,0,3,0.398722383822613,0.001,0.0118541666666667
"48","OTU_327","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.480069355266925,0.001,0.0118541666666667
"49","OTU_160","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bradymyces","Bradymyces_sp",0,0,0,0,1,0,0,5,0.250523970604671,0.003,0.0294310344827586
"50","OTU_173","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_oligosperma",0,0,0,0,1,0,0,5,0.350070803779554,0.001,0.0118541666666667
"51","OTU_202","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_submonticulosum",0,0,1,0,0,0,0,3,0.338959913442145,0.005,0.0418382352941176
"52","OTU_210","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Lepteutypa","Lepteutypa_sambuci",0,0,1,0,0,0,0,3,0.410320126131756,0.001,0.0118541666666667
"53","OTU_197","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces_rothmanniae",0,1,0,0,0,0,0,2,0.352024945482585,0.004,0.0355625
"54","OTU_380","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,0,1,0,0,0,0,3,0.350828356254454,0.003,0.0294310344827586
"55","OTU_537","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,0,1,0,0,0,0,3,0.450673299593988,0.001,0.0118541666666667
"56","OTU_240","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sp",0,0,1,0,0,0,0,3,0.250426277353848,0.006,0.0467671232876712
"57","OTU_219","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","unidentified","Lasiosphaeriaceae_sp",0,0,1,0,0,0,0,3,0.349054047547952,0.001,0.0118541666666667
"58","OTU_286","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zasmidium","Zasmidium_commune",0,0,0,0,0,0,1,7,0.33113999143611,0.004,0.0355625
"59","OTU_192","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,1,0,0,0,0,3,0.395163182964848,0.002,0.02276
"60","OTU_216","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,0,0,1,0,0,0,4,0.39047542366466,0.001,0.0118541666666667
"61","OTU_209","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","unidentified","Chaetomiaceae_sp",0,0,0,0,1,0,0,5,0.35123647629816,0.005,0.0418382352941176
"62","OTU_305","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Schizothyriaceae","Zygophiala","Zygophiala_qianensis",0,0,0,1,0,0,0,4,0.333345581705835,0.006,0.0467671232876712
"63","OTU_936","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Lopadostoma","Lopadostoma_americanum",0,0,1,0,0,0,0,3,0.417205484389726,0.001,0.0118541666666667
"64","OTU_416","Fungi","Ascomycota","Sordariomycetes","Boliniales","Boliniales_fam_Incertae_sedis","Paramicrothyrium","Paramicrothyrium_sp",0,0,1,0,0,0,0,3,0.303207573779386,0.006,0.0467671232876712
"65","OTU_362","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Ramophialophora","Ramophialophora_sp",0,0,1,0,0,0,0,3,0.329784391324428,0.006,0.0467671232876712
"66","OTU_784","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,1,0,0,0,0,3,0.399102036251087,0.001,0.0118541666666667
"67","OTU_603","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella_cucumerina",0,0,1,0,0,0,0,3,0.331454480222306,0.003,0.0294310344827586
"68","OTU_397","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,0,1,0,0,0,0,3,0.435489908242223,0.001,0.0118541666666667
"69","OTU_575","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_fraxini-angustifoliae",0,0,1,0,0,0,0,3,0.378502302443057,0.001,0.0118541666666667
"70","OTU_596","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neodidymelliopsis","Neodidymelliopsis_sambuci",0,0,0,0,1,0,0,5,0.351093581090903,0.003,0.0294310344827586
"71","OTU_614","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_ignotum",0,0,1,0,0,0,0,3,0.342304491474195,0.006,0.0467671232876712
"72","OTU_735","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellales_fam_Incertae_sedis","Malaysiasca","Malaysiasca_phaii",0,0,0,0,0,1,0,6,0.308919673363271,0.003,0.0294310344827586
"73","OTU_761","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,1,0,0,0,0,0,2,0.417886636903653,0.001,0.0118541666666667
